NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT00556933,"{""precision"": 0.5, ""recall"": 0.4090909090909091, ""f1"": 0.45}","{""precision"": 0.2608695652173913, ""recall"": 0.2727272727272727, ""f1"": 0.2666666666666666}","{""precision"": 0.4, ""recall"": 0.2727272727272727, ""f1"": 0.3243243243243243}","{""precision"": 0.47058823529411764, ""recall"": 0.36363636363636365, ""f1"": 0.41025641025641024}"
NCT00568178,"{""precision"": 0.21428571428571427, ""recall"": 0.25, ""f1"": 0.23076923076923075}","{""precision"": 0.3125, ""recall"": 0.4166666666666667, ""f1"": 0.35714285714285715}","{""precision"": 0.4666666666666667, ""recall"": 0.5833333333333334, ""f1"": 0.5185185185185186}","{""precision"": 0.5, ""recall"": 0.5833333333333334, ""f1"": 0.5384615384615384}"
NCT00618072,"{""precision"": 0.6153846153846154, ""recall"": 0.4444444444444444, ""f1"": 0.5161290322580646}","{""precision"": 0.4782608695652174, ""recall"": 0.6111111111111112, ""f1"": 0.5365853658536586}","{""precision"": 0.4444444444444444, ""recall"": 0.4444444444444444, ""f1"": 0.4444444444444444}","{""precision"": 0.5555555555555556, ""recall"": 0.5555555555555556, ""f1"": 0.5555555555555556}"
NCT00713830,"{""precision"": 0.27586206896551724, ""recall"": 0.5, ""f1"": 0.35555555555555557}","{""precision"": 0.42105263157894735, ""recall"": 0.5, ""f1"": 0.45714285714285713}","{""precision"": 0.47058823529411764, ""recall"": 0.5, ""f1"": 0.48484848484848486}","{""precision"": 0.47058823529411764, ""recall"": 0.5, ""f1"": 0.48484848484848486}"
NCT00751114,"{""precision"": 0.55, ""recall"": 0.5238095238095238, ""f1"": 0.5365853658536585}","{""precision"": 0.45, ""recall"": 0.4090909090909091, ""f1"": 0.4285714285714286}","{""precision"": 0.5, ""recall"": 0.3181818181818182, ""f1"": 0.3888888888888889}","{""precision"": 0.5, ""recall"": 0.3181818181818182, ""f1"": 0.3888888888888889}"
NCT00781937,"{""precision"": 0.375, ""recall"": 0.75, ""f1"": 0.5}","{""precision"": 0.30434782608695654, ""recall"": 0.875, ""f1"": 0.4516129032258065}","{""precision"": 0.36363636363636365, ""recall"": 1.0, ""f1"": 0.5333333333333333}","{""precision"": 0.3888888888888889, ""recall"": 0.3888888888888889, ""f1"": 0.3888888888888889}"
NCT00791479,"{""precision"": 0.47368421052631576, ""recall"": 0.9, ""f1"": 0.6206896551724138}","{""precision"": 0.35294117647058826, ""recall"": 0.6, ""f1"": 0.4444444444444445}","{""precision"": 0.4375, ""recall"": 0.7, ""f1"": 0.5384615384615384}","{""precision"": 0.42105263157894735, ""recall"": 0.8, ""f1"": 0.5517241379310345}"
NCT00793455,"{""precision"": 0.3, ""recall"": 0.8571428571428571, ""f1"": 0.4444444444444444}","{""precision"": 0.3333333333333333, ""recall"": 0.7142857142857143, ""f1"": 0.4545454545454545}","{""precision"": 0.38461538461538464, ""recall"": 0.7142857142857143, ""f1"": 0.5}","{""precision"": 0.45454545454545453, ""recall"": 0.7142857142857143, ""f1"": 0.5555555555555556}"
NCT00819182,"{""precision"": 0.5714285714285714, ""recall"": 0.38095238095238093, ""f1"": 0.4571428571428571}","{""precision"": 0.4, ""recall"": 0.3, ""f1"": 0.34285714285714286}","{""precision"": 0.5263157894736842, ""recall"": 0.5, ""f1"": 0.5128205128205129}","{""precision"": 0.6428571428571429, ""recall"": 0.45, ""f1"": 0.5294117647058824}"
NCT00863746,"{""precision"": 0.21052631578947367, ""recall"": 0.5, ""f1"": 0.2962962962962963}","{""precision"": 0.21052631578947367, ""recall"": 0.5, ""f1"": 0.2962962962962963}","{""precision"": 0.23529411764705882, ""recall"": 0.5, ""f1"": 0.31999999999999995}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}"
NCT00896181,"{""precision"": 0.16666666666666666, ""recall"": 0.5, ""f1"": 0.25}","{""precision"": 0.3, ""recall"": 1.0, ""f1"": 0.4615384615384615}","{""precision"": 0.18181818181818182, ""recall"": 0.6666666666666666, ""f1"": 0.28571428571428575}","{""precision"": 0.35294117647058826, ""recall"": 1.0, ""f1"": 0.5217391304347826}"
NCT00917267,"{""precision"": 0.46153846153846156, ""recall"": 0.75, ""f1"": 0.5714285714285714}","{""precision"": 0.3333333333333333, ""recall"": 0.75, ""f1"": 0.46153846153846156}","{""precision"": 0.3888888888888889, ""recall"": 0.875, ""f1"": 0.5384615384615385}","{""precision"": 0.3888888888888889, ""recall"": 0.875, ""f1"": 0.5384615384615385}"
NCT00949884,"{""precision"": 0.18518518518518517, ""recall"": 0.5555555555555556, ""f1"": 0.2777777777777778}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}","{""precision"": 0.5384615384615384, ""recall"": 0.7777777777777778, ""f1"": 0.6363636363636364}","{""precision"": 0.4666666666666667, ""recall"": 0.7777777777777778, ""f1"": 0.5833333333333334}"
NCT00962247,"{""precision"": 0.2857142857142857, ""recall"": 0.2857142857142857, ""f1"": 0.2857142857142857}","{""precision"": 0.15789473684210525, ""recall"": 0.42857142857142855, ""f1"": 0.23076923076923078}","{""precision"": 0.2727272727272727, ""recall"": 0.375, ""f1"": 0.3157894736842105}","{""precision"": 0.2, ""recall"": 0.42857142857142855, ""f1"": 0.27272727272727276}"
NCT00967668,"{""precision"": 0.25, ""recall"": 0.375, ""f1"": 0.3}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.2857142857142857, ""recall"": 0.5, ""f1"": 0.36363636363636365}","{""precision"": 0.2, ""recall"": 0.375, ""f1"": 0.26086956521739135}"
NCT01000480,"{""precision"": 0.20689655172413793, ""recall"": 0.8571428571428571, ""f1"": 0.33333333333333326}","{""precision"": 0.2692307692307692, ""recall"": 0.875, ""f1"": 0.411764705882353}","{""precision"": 0.4, ""recall"": 0.75, ""f1"": 0.5217391304347827}","{""precision"": 0.24, ""recall"": 0.75, ""f1"": 0.36363636363636365}"
NCT01031680,"{""precision"": 0.6, ""recall"": 0.5294117647058824, ""f1"": 0.5625}","{""precision"": 0.625, ""recall"": 0.5882352941176471, ""f1"": 0.6060606060606061}","{""precision"": 0.5882352941176471, ""recall"": 0.5882352941176471, ""f1"": 0.5882352941176471}","{""precision"": 0.5, ""recall"": 0.47058823529411764, ""f1"": 0.48484848484848486}"
NCT01101880,"{""precision"": 0.6875, ""recall"": 0.7333333333333333, ""f1"": 0.7096774193548386}","{""precision"": 0.5, ""recall"": 0.6153846153846154, ""f1"": 0.5517241379310345}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.3333333333333333, ""recall"": 0.5555555555555556, ""f1"": 0.4166666666666667}"
NCT01279109,"{""precision"": 1.0, ""recall"": 0.47058823529411764, ""f1"": 0.6399999999999999}","{""precision"": 0.5454545454545454, ""recall"": 0.5, ""f1"": 0.5217391304347826}","{""precision"": 0.3125, ""recall"": 0.4166666666666667, ""f1"": 0.35714285714285715}","{""precision"": 0.2857142857142857, ""recall"": 0.5, ""f1"": 0.36363636363636365}"
NCT01357551,"{""precision"": 0.6, ""recall"": 0.48, ""f1"": 0.5333333333333332}","{""precision"": 0.45, ""recall"": 0.4090909090909091, ""f1"": 0.4285714285714286}","{""precision"": 0.3684210526315789, ""recall"": 0.3333333333333333, ""f1"": 0.35}","{""precision"": 0.45, ""recall"": 0.47368421052631576, ""f1"": 0.46153846153846156}"
NCT01435603,"{""precision"": 0.3, ""recall"": 0.375, ""f1"": 0.33333333333333326}","{""precision"": 0.3684210526315789, ""recall"": 0.4375, ""f1"": 0.39999999999999997}","{""precision"": 0.3888888888888889, ""recall"": 0.4375, ""f1"": 0.411764705882353}","{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}"
NCT01441973,"{""precision"": 0.4, ""recall"": 0.36363636363636365, ""f1"": 0.380952380952381}","{""precision"": 0.4166666666666667, ""recall"": 0.45454545454545453, ""f1"": 0.43478260869565216}","{""precision"": 0.5, ""recall"": 0.5454545454545454, ""f1"": 0.5217391304347826}","{""precision"": 0.45454545454545453, ""recall"": 0.45454545454545453, ""f1"": 0.45454545454545453}"
NCT01483560,,,,
NCT01484873,"{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.35294117647058826, ""recall"": 0.5, ""f1"": 0.41379310344827586}","{""precision"": 0.4375, ""recall"": 0.5833333333333334, ""f1"": 0.5}","{""precision"": 0.24, ""recall"": 0.5, ""f1"": 0.32432432432432434}"
NCT01496469,"{""precision"": 0.5625, ""recall"": 0.6923076923076923, ""f1"": 0.6206896551724138}","{""precision"": 0.6, ""recall"": 0.6923076923076923, ""f1"": 0.6428571428571429}","{""precision"": 0.6875, ""recall"": 0.8461538461538461, ""f1"": 0.7586206896551724}","{""precision"": 0.4375, ""recall"": 0.5384615384615384, ""f1"": 0.4827586206896552}"
NCT01574157,"{""precision"": 0.35294117647058826, ""recall"": 0.2727272727272727, ""f1"": 0.30769230769230765}","{""precision"": 0.3333333333333333, ""recall"": 0.22727272727272727, ""f1"": 0.27027027027027023}","{""precision"": 0.4, ""recall"": 0.2727272727272727, ""f1"": 0.3243243243243243}","{""precision"": 0.35294117647058826, ""recall"": 0.2727272727272727, ""f1"": 0.30769230769230765}"
NCT01592695,"{""precision"": 0.4, ""recall"": 0.35294117647058826, ""f1"": 0.37500000000000006}","{""precision"": 0.6470588235294118, ""recall"": 0.6470588235294118, ""f1"": 0.6470588235294118}","{""precision"": 0.47368421052631576, ""recall"": 0.5, ""f1"": 0.4864864864864865}","{""precision"": 0.3125, ""recall"": 0.29411764705882354, ""f1"": 0.30303030303030304}"
NCT01621178,"{""precision"": 0.6428571428571429, ""recall"": 0.6, ""f1"": 0.6206896551724138}","{""precision"": 0.5, ""recall"": 0.6428571428571429, ""f1"": 0.5625000000000001}","{""precision"": 0.6428571428571429, ""recall"": 0.6428571428571429, ""f1"": 0.6428571428571429}","{""precision"": 0.47058823529411764, ""recall"": 0.5714285714285714, ""f1"": 0.5161290322580646}"
NCT01652729,"{""precision"": 0.4444444444444444, ""recall"": 0.6153846153846154, ""f1"": 0.5161290322580646}","{""precision"": 0.5263157894736842, ""recall"": 0.7692307692307693, ""f1"": 0.625}","{""precision"": 0.4375, ""recall"": 0.5384615384615384, ""f1"": 0.4827586206896552}","{""precision"": 0.3333333333333333, ""recall"": 0.38461538461538464, ""f1"": 0.3571428571428571}"
NCT01676220,"{""precision"": 0.4666666666666667, ""recall"": 0.6363636363636364, ""f1"": 0.5384615384615385}","{""precision"": 0.47368421052631576, ""recall"": 0.8181818181818182, ""f1"": 0.6}","{""precision"": 0.5833333333333334, ""recall"": 0.6363636363636364, ""f1"": 0.6086956521739131}","{""precision"": 0.5, ""recall"": 0.6363636363636364, ""f1"": 0.56}"
NCT01686828,"{""precision"": 0.35, ""recall"": 0.3333333333333333, ""f1"": 0.3414634146341463}","{""precision"": 0.4166666666666667, ""recall"": 0.5, ""f1"": 0.45454545454545453}","{""precision"": 0.23529411764705882, ""recall"": 0.21052631578947367, ""f1"": 0.2222222222222222}","{""precision"": 0.42857142857142855, ""recall"": 0.3157894736842105, ""f1"": 0.36363636363636365}"
NCT01757847,"{""precision"": 0.42857142857142855, ""recall"": 0.5, ""f1"": 0.4615384615384615}","{""precision"": 0.3157894736842105, ""recall"": 0.5, ""f1"": 0.3870967741935484}","{""precision"": 0.3333333333333333, ""recall"": 0.4166666666666667, ""f1"": 0.3703703703703704}","{""precision"": 0.3157894736842105, ""recall"": 0.5, ""f1"": 0.3870967741935484}"
NCT01760239,"{""precision"": 0.42857142857142855, ""recall"": 0.6, ""f1"": 0.5}","{""precision"": 0.26666666666666666, ""recall"": 0.4, ""f1"": 0.32}","{""precision"": 0.5, ""recall"": 0.6, ""f1"": 0.5454545454545454}","{""precision"": 0.3125, ""recall"": 0.5, ""f1"": 0.38461538461538464}"
NCT01767155,"{""precision"": 0.23076923076923078, ""recall"": 0.6, ""f1"": 0.33333333333333337}","{""precision"": 0.4444444444444444, ""recall"": 0.8, ""f1"": 0.5714285714285714}","{""precision"": 0.42857142857142855, ""recall"": 0.6, ""f1"": 0.5}","{""precision"": 0.2631578947368421, ""recall"": 0.5, ""f1"": 0.3448275862068966}"
NCT01768637,"{""precision"": 0.3888888888888889, ""recall"": 0.25, ""f1"": 0.30434782608695654}","{""precision"": 0.47368421052631576, ""recall"": 0.32142857142857145, ""f1"": 0.3829787234042553}","{""precision"": 0.5, ""recall"": 0.2857142857142857, ""f1"": 0.36363636363636365}","{""precision"": 0.5, ""recall"": 0.2857142857142857, ""f1"": 0.36363636363636365}"
NCT01785849,"{""precision"": 0.47619047619047616, ""recall"": 0.6666666666666666, ""f1"": 0.5555555555555556}","{""precision"": 0.5263157894736842, ""recall"": 0.6666666666666666, ""f1"": 0.5882352941176471}","{""precision"": 0.6, ""recall"": 0.6, ""f1"": 0.6}","{""precision"": 0.7142857142857143, ""recall"": 0.6666666666666666, ""f1"": 0.689655172413793}"
NCT01821352,"{""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1"": 0.5}","{""precision"": 0.21428571428571427, ""recall"": 0.6, ""f1"": 0.3157894736842105}","{""precision"": 0.21428571428571427, ""recall"": 0.6, ""f1"": 0.3157894736842105}","{""precision"": 0.21428571428571427, ""recall"": 0.6, ""f1"": 0.3157894736842105}"
NCT01862796,"{""precision"": 0.35, ""recall"": 0.5384615384615384, ""f1"": 0.4242424242424242}","{""precision"": 0.4090909090909091, ""recall"": 0.6923076923076923, ""f1"": 0.5142857142857142}","{""precision"": 0.3684210526315789, ""recall"": 0.5384615384615384, ""f1"": 0.4375}","{""precision"": 0.375, ""recall"": 0.6923076923076923, ""f1"": 0.48648648648648646}"
NCT01973972,"{""precision"": 0.125, ""recall"": 0.2, ""f1"": 0.15384615384615385}","{""precision"": 0.26666666666666666, ""recall"": 0.4, ""f1"": 0.32}","{""precision"": 0.26666666666666666, ""recall"": 0.4, ""f1"": 0.32}","{""precision"": 0.29411764705882354, ""recall"": 0.5, ""f1"": 0.37037037037037035}"
NCT01986881,"{""precision"": 0.5555555555555556, ""recall"": 0.5, ""f1"": 0.5263157894736842}","{""precision"": 0.5333333333333333, ""recall"": 0.4, ""f1"": 0.4571428571428572}","{""precision"": 0.6470588235294118, ""recall"": 0.55, ""f1"": 0.5945945945945946}","{""precision"": 0.8095238095238095, ""recall"": 0.85, ""f1"": 0.8292682926829269}"
NCT02003963,"{""precision"": 0.125, ""recall"": 0.07407407407407407, ""f1"": 0.09302325581395349}","{""precision"": 0.4117647058823529, ""recall"": 0.25925925925925924, ""f1"": 0.3181818181818182}","{""precision"": 0.13333333333333333, ""recall"": 0.07407407407407407, ""f1"": 0.09523809523809523}","{""precision"": 0.42857142857142855, ""recall"": 0.23076923076923078, ""f1"": 0.3}"
NCT02008682,"{""precision"": 0.3333333333333333, ""recall"": 0.5555555555555556, ""f1"": 0.4166666666666667}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}","{""precision"": 0.5, ""recall"": 0.75, ""f1"": 0.6}","{""precision"": 0.23529411764705882, ""recall"": 0.4444444444444444, ""f1"": 0.30769230769230765}"
NCT02038179,"{""precision"": 0.2777777777777778, ""recall"": 1.0, ""f1"": 0.4347826086956522}","{""precision"": 0.38461538461538464, ""recall"": 1.0, ""f1"": 0.5555555555555556}","{""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1"": 0.5}","{""precision"": 0.35714285714285715, ""recall"": 1.0, ""f1"": 0.5263157894736842}"
NCT02109029,"{""precision"": 0.38461538461538464, ""recall"": 0.7142857142857143, ""f1"": 0.5}","{""precision"": 0.35714285714285715, ""recall"": 0.7142857142857143, ""f1"": 0.4761904761904762}","{""precision"": 0.4166666666666667, ""recall"": 0.7142857142857143, ""f1"": 0.5263157894736842}","{""precision"": 0.42857142857142855, ""recall"": 0.8571428571428571, ""f1"": 0.5714285714285714}"
NCT02111980,"{""precision"": 0.1111111111111111, ""recall"": 0.25, ""f1"": 0.15384615384615383}","{""precision"": 0.13793103448275862, ""recall"": 0.5, ""f1"": 0.2162162162162162}","{""precision"": 0.4666666666666667, ""recall"": 0.875, ""f1"": 0.608695652173913}","{""precision"": 0.25, ""recall"": 0.375, ""f1"": 0.3}"
NCT02137512,"{""precision"": 0.19230769230769232, ""recall"": 0.625, ""f1"": 0.29411764705882354}","{""precision"": 0.2, ""recall"": 0.625, ""f1"": 0.30303030303030304}","{""precision"": 0.35294117647058826, ""recall"": 0.75, ""f1"": 0.48}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}"
NCT02214186,"{""precision"": 0.45, ""recall"": 0.5625, ""f1"": 0.5}","{""precision"": 0.5555555555555556, ""recall"": 0.5882352941176471, ""f1"": 0.5714285714285715}","{""precision"": 0.5, ""recall"": 0.5882352941176471, ""f1"": 0.5405405405405405}","{""precision"": 0.625, ""recall"": 0.625, ""f1"": 0.625}"
NCT02278471,"{""precision"": 0.5294117647058824, ""recall"": 0.6923076923076923, ""f1"": 0.5999999999999999}","{""precision"": 0.5217391304347826, ""recall"": 0.9230769230769231, ""f1"": 0.6666666666666667}","{""precision"": 0.5555555555555556, ""recall"": 0.7692307692307693, ""f1"": 0.6451612903225806}","{""precision"": 0.5625, ""recall"": 0.6923076923076923, ""f1"": 0.6206896551724138}"
NCT02342639,"{""precision"": 0.5333333333333333, ""recall"": 0.5333333333333333, ""f1"": 0.5333333333333333}","{""precision"": 0.5, ""recall"": 0.5333333333333333, ""f1"": 0.5161290322580646}","{""precision"": 0.3333333333333333, ""recall"": 0.3333333333333333, ""f1"": 0.3333333333333333}","{""precision"": 0.3333333333333333, ""recall"": 0.4666666666666667, ""f1"": 0.3888888888888889}"
NCT02358668,"{""precision"": 0.2857142857142857, ""recall"": 0.20689655172413793, ""f1"": 0.24000000000000002}","{""precision"": 0.4666666666666667, ""recall"": 0.2413793103448276, ""f1"": 0.3181818181818182}","{""precision"": 0.5294117647058824, ""recall"": 0.3103448275862069, ""f1"": 0.391304347826087}","{""precision"": 0.5625, ""recall"": 0.3103448275862069, ""f1"": 0.4}"
NCT02409329,"{""precision"": 0.5, ""recall"": 0.3448275862068966, ""f1"": 0.40816326530612246}","{""precision"": 0.631578947368421, ""recall"": 0.42857142857142855, ""f1"": 0.5106382978723404}","{""precision"": 0.5789473684210527, ""recall"": 0.4074074074074074, ""f1"": 0.47826086956521735}","{""precision"": 0.5789473684210527, ""recall"": 0.39285714285714285, ""f1"": 0.46808510638297873}"
NCT02437084,"{""precision"": 0.21428571428571427, ""recall"": 0.3, ""f1"": 0.25}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.23076923076923078, ""recall"": 0.3, ""f1"": 0.2608695652173913}","{""precision"": 0.3333333333333333, ""recall"": 0.6, ""f1"": 0.42857142857142855}"
NCT02473926,"{""precision"": 0.55, ""recall"": 0.6111111111111112, ""f1"": 0.5789473684210527}","{""precision"": 0.35, ""recall"": 0.4666666666666667, ""f1"": 0.4}","{""precision"": 0.3333333333333333, ""recall"": 0.4, ""f1"": 0.3636363636363636}","{""precision"": 0.35294117647058826, ""recall"": 0.4, ""f1"": 0.37500000000000006}"
NCT02531035,"{""precision"": 0.6, ""recall"": 0.4, ""f1"": 0.48}","{""precision"": 0.5882352941176471, ""recall"": 0.6666666666666666, ""f1"": 0.625}","{""precision"": 0.6153846153846154, ""recall"": 0.5333333333333333, ""f1"": 0.5714285714285715}","{""precision"": 0.5333333333333333, ""recall"": 0.5333333333333333, ""f1"": 0.5333333333333333}"
NCT02572882,"{""precision"": 0.23076923076923078, ""recall"": 0.42857142857142855, ""f1"": 0.3}","{""precision"": 0.2, ""recall"": 0.5714285714285714, ""f1"": 0.29629629629629634}","{""precision"": 0.3684210526315789, ""recall"": 1.0, ""f1"": 0.5384615384615384}","{""precision"": 0.3125, ""recall"": 0.7142857142857143, ""f1"": 0.43478260869565216}"
NCT02592421,"{""precision"": 0.5, ""recall"": 0.625, ""f1"": 0.5555555555555556}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.4166666666666667, ""recall"": 0.625, ""f1"": 0.5}","{""precision"": 0.29411764705882354, ""recall"": 0.625, ""f1"": 0.4}"
NCT02602496,"{""precision"": 0.3, ""recall"": 0.375, ""f1"": 0.33333333333333326}","{""precision"": 0.5333333333333333, ""recall"": 1.0, ""f1"": 0.6956521739130436}","{""precision"": 0.3333333333333333, ""recall"": 0.875, ""f1"": 0.48275862068965514}","{""precision"": 0.35, ""recall"": 0.875, ""f1"": 0.4999999999999999}"
NCT02620774,"{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.4, ""recall"": 0.75, ""f1"": 0.5217391304347827}","{""precision"": 0.5, ""recall"": 0.75, ""f1"": 0.6}","{""precision"": 0.42857142857142855, ""recall"": 0.75, ""f1"": 0.5454545454545454}"
NCT02623348,"{""precision"": 0.35714285714285715, ""recall"": 0.2631578947368421, ""f1"": 0.30303030303030304}","{""precision"": 0.42105263157894735, ""recall"": 0.42105263157894735, ""f1"": 0.42105263157894735}","{""precision"": 0.6666666666666666, ""recall"": 0.5263157894736842, ""f1"": 0.5882352941176471}","{""precision"": 0.5263157894736842, ""recall"": 0.5263157894736842, ""f1"": 0.5263157894736842}"
NCT02643966,"{""precision"": 0.8666666666666667, ""recall"": 0.65, ""f1"": 0.7428571428571429}","{""precision"": 0.3333333333333333, ""recall"": 0.45454545454545453, ""f1"": 0.3846153846153846}","{""precision"": 0.7272727272727273, ""recall"": 0.7272727272727273, ""f1"": 0.7272727272727273}","{""precision"": 0.7272727272727273, ""recall"": 0.7272727272727273, ""f1"": 0.7272727272727273}"
NCT02646982,"{""precision"": 0.48, ""recall"": 0.35294117647058826, ""f1"": 0.4067796610169491}","{""precision"": 0.65, ""recall"": 0.38235294117647056, ""f1"": 0.48148148148148157}","{""precision"": 0.625, ""recall"": 0.4411764705882353, ""f1"": 0.5172413793103449}","{""precision"": 0.6, ""recall"": 0.35294117647058826, ""f1"": 0.4444444444444445}"
NCT02680574,"{""precision"": 0.3125, ""recall"": 0.5, ""f1"": 0.38461538461538464}","{""precision"": 0.625, ""recall"": 1.0, ""f1"": 0.7692307692307693}","{""precision"": 0.5, ""recall"": 0.8, ""f1"": 0.6153846153846154}","{""precision"": 0.3888888888888889, ""recall"": 0.7, ""f1"": 0.5}"
NCT02692040,"{""precision"": 0.21428571428571427, ""recall"": 0.42857142857142855, ""f1"": 0.2857142857142857}","{""precision"": 0.2, ""recall"": 0.42857142857142855, ""f1"": 0.27272727272727276}","{""precision"": 0.1875, ""recall"": 0.42857142857142855, ""f1"": 0.26086956521739124}","{""precision"": 0.2727272727272727, ""recall"": 0.8571428571428571, ""f1"": 0.41379310344827586}"
NCT02692560,"{""precision"": 0.3, ""recall"": 0.375, ""f1"": 0.33333333333333326}","{""precision"": 0.3157894736842105, ""recall"": 0.75, ""f1"": 0.44444444444444436}","{""precision"": 0.16666666666666666, ""recall"": 0.375, ""f1"": 0.23076923076923078}","{""precision"": 0.3, ""recall"": 0.75, ""f1"": 0.4285714285714285}"
NCT02698891,"{""precision"": 0.18181818181818182, ""recall"": 0.4, ""f1"": 0.25000000000000006}","{""precision"": 0.3157894736842105, ""recall"": 0.6, ""f1"": 0.41379310344827586}","{""precision"": 0.2777777777777778, ""recall"": 0.5, ""f1"": 0.35714285714285715}","{""precision"": 0.2777777777777778, ""recall"": 0.5, ""f1"": 0.35714285714285715}"
NCT02738086,"{""precision"": 0.2857142857142857, ""recall"": 0.6666666666666666, ""f1"": 0.4}","{""precision"": 0.23529411764705882, ""recall"": 0.4444444444444444, ""f1"": 0.30769230769230765}","{""precision"": 0.26666666666666666, ""recall"": 0.4444444444444444, ""f1"": 0.33333333333333337}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}"
