NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT00090519,"{""precision"": 0.7272727272727273, ""recall"": 0.6666666666666666, ""f1"": 0.6956521739130435}","{""precision"": 0.75, ""recall"": 0.75, ""f1"": 0.75}","{""precision"": 0.6428571428571429, ""recall"": 0.75, ""f1"": 0.6923076923076924}","{""precision"": 0.7272727272727273, ""recall"": 0.6666666666666666, ""f1"": 0.6956521739130435}"
NCT00096382,"{""precision"": 0.08, ""recall"": 0.3333333333333333, ""f1"": 0.12903225806451613}","{""precision"": 0.23529411764705882, ""recall"": 0.6666666666666666, ""f1"": 0.3478260869565218}","{""precision"": 0.03571428571428571, ""recall"": 0.16666666666666666, ""f1"": 0.058823529411764705}","{""precision"": 0.21052631578947367, ""recall"": 0.6666666666666666, ""f1"": 0.32}"
NCT00098020,"{""precision"": 0.2222222222222222, ""recall"": 0.6666666666666666, ""f1"": 0.3333333333333333}","{""precision"": 0.3333333333333333, ""recall"": 0.6666666666666666, ""f1"": 0.4444444444444444}","{""precision"": 0.19047619047619047, ""recall"": 0.6666666666666666, ""f1"": 0.2962962962962963}","{""precision"": 0.2, ""recall"": 0.5, ""f1"": 0.28571428571428575}"
NCT00100789,"{""precision"": 0.16666666666666666, ""recall"": 0.5714285714285714, ""f1"": 0.25806451612903225}","{""precision"": 0.3333333333333333, ""recall"": 0.5714285714285714, ""f1"": 0.4210526315789474}","{""precision"": 0.25, ""recall"": 0.8571428571428571, ""f1"": 0.3870967741935483}","{""precision"": 0.2, ""recall"": 0.5714285714285714, ""f1"": 0.29629629629629634}"
NCT00104572,"{""precision"": 0.21875, ""recall"": 0.4117647058823529, ""f1"": 0.2857142857142857}","{""precision"": 0.5333333333333333, ""recall"": 0.47058823529411764, ""f1"": 0.5}","{""precision"": 0.19230769230769232, ""recall"": 0.29411764705882354, ""f1"": 0.23255813953488372}","{""precision"": 0.5, ""recall"": 0.47058823529411764, ""f1"": 0.48484848484848486}"
NCT00109031,"{""precision"": 0.2777777777777778, ""recall"": 0.8333333333333334, ""f1"": 0.4166666666666667}","{""precision"": 0.36363636363636365, ""recall"": 0.6666666666666666, ""f1"": 0.4705882352941177}","{""precision"": 0.3125, ""recall"": 0.8333333333333334, ""f1"": 0.45454545454545453}","{""precision"": 0.3333333333333333, ""recall"": 0.8333333333333334, ""f1"": 0.47619047619047616}"
NCT00110084,"{""precision"": 0.12903225806451613, ""recall"": 0.4444444444444444, ""f1"": 0.19999999999999998}","{""precision"": 0.2777777777777778, ""recall"": 0.5555555555555556, ""f1"": 0.3703703703703704}","{""precision"": 0.2777777777777778, ""recall"": 0.5555555555555556, ""f1"": 0.3703703703703704}","{""precision"": 0.375, ""recall"": 0.6666666666666666, ""f1"": 0.4800000000000001}"
NCT00110214,"{""precision"": 0.10344827586206896, ""recall"": 0.5, ""f1"": 0.17142857142857143}","{""precision"": 0.16666666666666666, ""recall"": 0.6666666666666666, ""f1"": 0.26666666666666666}","{""precision"": 0.07407407407407407, ""recall"": 0.3333333333333333, ""f1"": 0.12121212121212122}","{""precision"": 0.18181818181818182, ""recall"": 0.6666666666666666, ""f1"": 0.28571428571428575}"
NCT00112294,"{""precision"": 0.2222222222222222, ""recall"": 0.6666666666666666, ""f1"": 0.3333333333333333}","{""precision"": 0.3076923076923077, ""recall"": 0.6666666666666666, ""f1"": 0.42105263157894735}","{""precision"": 0.18181818181818182, ""recall"": 0.6666666666666666, ""f1"": 0.28571428571428575}","{""precision"": 0.18181818181818182, ""recall"": 0.6666666666666666, ""f1"": 0.28571428571428575}"
NCT00113074,"{""precision"": 0.3, ""recall"": 0.6666666666666666, ""f1"": 0.41379310344827586}","{""precision"": 0.42857142857142855, ""recall"": 0.6666666666666666, ""f1"": 0.5217391304347826}","{""precision"": 0.4375, ""recall"": 0.7777777777777778, ""f1"": 0.56}","{""precision"": 0.5454545454545454, ""recall"": 0.6666666666666666, ""f1"": 0.6}"
NCT00116779,"{""precision"": 0.23809523809523808, ""recall"": 0.4166666666666667, ""f1"": 0.30303030303030304}","{""precision"": 0.5454545454545454, ""recall"": 0.5, ""f1"": 0.5217391304347826}","{""precision"": 0.6, ""recall"": 0.5, ""f1"": 0.5454545454545454}","{""precision"": 0.6666666666666666, ""recall"": 0.5, ""f1"": 0.5714285714285715}"
NCT00116831,"{""precision"": 0.23076923076923078, ""recall"": 0.5454545454545454, ""f1"": 0.3243243243243243}","{""precision"": 0.46153846153846156, ""recall"": 0.75, ""f1"": 0.5714285714285714}","{""precision"": 0.4117647058823529, ""recall"": 0.875, ""f1"": 0.56}","{""precision"": 0.4444444444444444, ""recall"": 1.0, ""f1"": 0.6153846153846153}"
NCT00117962,"{""precision"": 0.3333333333333333, ""recall"": 0.8333333333333334, ""f1"": 0.47619047619047616}","{""precision"": 0.375, ""recall"": 1.0, ""f1"": 0.5454545454545454}","{""precision"": 0.25, ""recall"": 0.8333333333333334, ""f1"": 0.3846153846153846}","{""precision"": 0.25, ""recall"": 0.6666666666666666, ""f1"": 0.36363636363636365}"
NCT00118040,"{""precision"": 0.07407407407407407, ""recall"": 0.3333333333333333, ""f1"": 0.12121212121212122}","{""precision"": 0.2, ""recall"": 0.6666666666666666, ""f1"": 0.30769230769230765}","{""precision"": 0.08333333333333333, ""recall"": 0.3333333333333333, ""f1"": 0.13333333333333333}","{""precision"": 0.18181818181818182, ""recall"": 0.6666666666666666, ""f1"": 0.28571428571428575}"
NCT00121667,"{""precision"": 0.2857142857142857, ""recall"": 0.4444444444444444, ""f1"": 0.34782608695652173}","{""precision"": 0.4, ""recall"": 0.4444444444444444, ""f1"": 0.4210526315789474}","{""precision"": 0.3333333333333333, ""recall"": 0.4444444444444444, ""f1"": 0.380952380952381}","{""precision"": 0.36363636363636365, ""recall"": 0.4444444444444444, ""f1"": 0.39999999999999997}"
NCT00125853,"{""precision"": 0.3888888888888889, ""recall"": 0.7, ""f1"": 0.5}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.3684210526315789, ""recall"": 0.7, ""f1"": 0.48275862068965514}","{""precision"": 0.5, ""recall"": 0.6, ""f1"": 0.5454545454545454}"
NCT00126581,"{""precision"": 0.3125, ""recall"": 0.8333333333333334, ""f1"": 0.45454545454545453}","{""precision"": 0.375, ""recall"": 1.0, ""f1"": 0.5454545454545454}","{""precision"": 0.29411764705882354, ""recall"": 0.8333333333333334, ""f1"": 0.4347826086956522}","{""precision"": 0.42857142857142855, ""recall"": 1.0, ""f1"": 0.6}"
NCT00126594,"{""precision"": 0.075, ""recall"": 0.375, ""f1"": 0.12499999999999999}","{""precision"": 0.26666666666666666, ""recall"": 0.5, ""f1"": 0.3478260869565218}","{""precision"": 0.25, ""recall"": 0.625, ""f1"": 0.35714285714285715}","{""precision"": 0.375, ""recall"": 0.75, ""f1"": 0.5}"
NCT00126737,"{""precision"": 0.6666666666666666, ""recall"": 0.5454545454545454, ""f1"": 0.6}","{""precision"": 0.6363636363636364, ""recall"": 0.6363636363636364, ""f1"": 0.6363636363636364}","{""precision"": 0.36363636363636365, ""recall"": 0.36363636363636365, ""f1"": 0.36363636363636365}","{""precision"": 0.75, ""recall"": 0.5454545454545454, ""f1"": 0.631578947368421}"
NCT00129376,"{""precision"": 0.11764705882352941, ""recall"": 0.5, ""f1"": 0.19047619047619047}","{""precision"": 0.3157894736842105, ""recall"": 0.75, ""f1"": 0.44444444444444436}","{""precision"": 0.23809523809523808, ""recall"": 0.625, ""f1"": 0.3448275862068965}","{""precision"": 0.30434782608695654, ""recall"": 0.875, ""f1"": 0.4516129032258065}"
NCT00129389,"{""precision"": 0.3181818181818182, ""recall"": 0.5384615384615384, ""f1"": 0.39999999999999997}","{""precision"": 0.34615384615384615, ""recall"": 0.6923076923076923, ""f1"": 0.46153846153846156}","{""precision"": 0.6428571428571429, ""recall"": 0.6923076923076923, ""f1"": 0.6666666666666666}","{""precision"": 0.5833333333333334, ""recall"": 0.5384615384615384, ""f1"": 0.5599999999999999}"
NCT00135707,"{""precision"": 0.2962962962962963, ""recall"": 0.5714285714285714, ""f1"": 0.3902439024390244}","{""precision"": 0.4117647058823529, ""recall"": 0.5, ""f1"": 0.45161290322580644}","{""precision"": 0.35, ""recall"": 0.4666666666666667, ""f1"": 0.4}","{""precision"": 0.5555555555555556, ""recall"": 0.3333333333333333, ""f1"": 0.4166666666666667}"
NCT00137280,"{""precision"": 0.5, ""recall"": 0.2857142857142857, ""f1"": 0.36363636363636365}","{""precision"": 0.4, ""recall"": 0.2857142857142857, ""f1"": 0.3333333333333333}","{""precision"": 0.375, ""recall"": 0.42857142857142855, ""f1"": 0.39999999999999997}","{""precision"": 0.3333333333333333, ""recall"": 0.21428571428571427, ""f1"": 0.2608695652173913}"
NCT00147199,"{""precision"": 0.3, ""recall"": 0.8571428571428571, ""f1"": 0.4444444444444444}","{""precision"": 0.5454545454545454, ""recall"": 0.8571428571428571, ""f1"": 0.6666666666666665}","{""precision"": 0.5, ""recall"": 1.0, ""f1"": 0.6666666666666666}","{""precision"": 0.5833333333333334, ""recall"": 1.0, ""f1"": 0.7368421052631579}"
NCT00151775,"{""precision"": 0.45454545454545453, ""recall"": 0.7142857142857143, ""f1"": 0.5555555555555556}","{""precision"": 0.5, ""recall"": 0.7142857142857143, ""f1"": 0.588235294117647}","{""precision"": 0.4375, ""recall"": 1.0, ""f1"": 0.6086956521739131}","{""precision"": 0.5833333333333334, ""recall"": 1.0, ""f1"": 0.7368421052631579}"
NCT00182689,"{""precision"": 0.17857142857142858, ""recall"": 0.7142857142857143, ""f1"": 0.2857142857142857}","{""precision"": 0.25, ""recall"": 0.7142857142857143, ""f1"": 0.37037037037037035}","{""precision"": 0.25, ""recall"": 0.7142857142857143, ""f1"": 0.37037037037037035}","{""precision"": 0.2631578947368421, ""recall"": 0.7142857142857143, ""f1"": 0.3846153846153846}"
NCT00191191,"{""precision"": 0.3333333333333333, ""recall"": 0.7142857142857143, ""f1"": 0.4545454545454545}","{""precision"": 0.3333333333333333, ""recall"": 0.7142857142857143, ""f1"": 0.4545454545454545}","{""precision"": 0.3333333333333333, ""recall"": 0.5714285714285714, ""f1"": 0.4210526315789474}","{""precision"": 0.4444444444444444, ""recall"": 0.5714285714285714, ""f1"": 0.5}"
NCT00191646,"{""precision"": 0.5, ""recall"": 0.8, ""f1"": 0.6153846153846154}","{""precision"": 0.7272727272727273, ""recall"": 0.8, ""f1"": 0.761904761904762}","{""precision"": 0.7142857142857143, ""recall"": 0.9090909090909091, ""f1"": 0.8}","{""precision"": 0.6666666666666666, ""recall"": 0.6, ""f1"": 0.631578947368421}"
NCT00191789,"{""precision"": 0.42857142857142855, ""recall"": 0.42857142857142855, ""f1"": 0.42857142857142855}","{""precision"": 0.47058823529411764, ""recall"": 0.5714285714285714, ""f1"": 0.5161290322580646}","{""precision"": 0.6153846153846154, ""recall"": 0.5714285714285714, ""f1"": 0.5925925925925927}","{""precision"": 0.6666666666666666, ""recall"": 0.42857142857142855, ""f1"": 0.5217391304347826}"
NCT00192114,"{""precision"": 0.3076923076923077, ""recall"": 0.6666666666666666, ""f1"": 0.42105263157894735}","{""precision"": 0.45454545454545453, ""recall"": 0.8333333333333334, ""f1"": 0.5882352941176471}","{""precision"": 0.35714285714285715, ""recall"": 0.8333333333333334, ""f1"": 0.5}","{""precision"": 0.4444444444444444, ""recall"": 0.6666666666666666, ""f1"": 0.5333333333333333}"
NCT00194714,"{""precision"": 0.18181818181818182, ""recall"": 0.6666666666666666, ""f1"": 0.28571428571428575}","{""precision"": 0.21428571428571427, ""recall"": 0.5, ""f1"": 0.3}","{""precision"": 0.15789473684210525, ""recall"": 0.5, ""f1"": 0.23999999999999996}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}"
NCT00201825,"{""precision"": 0.3333333333333333, ""recall"": 0.6666666666666666, ""f1"": 0.4444444444444444}","{""precision"": 0.5555555555555556, ""recall"": 0.8333333333333334, ""f1"": 0.6666666666666667}","{""precision"": 0.4, ""recall"": 0.6666666666666666, ""f1"": 0.5}","{""precision"": 0.4444444444444444, ""recall"": 0.6666666666666666, ""f1"": 0.5333333333333333}"
NCT00205660,"{""precision"": 0.3888888888888889, ""recall"": 0.875, ""f1"": 0.5384615384615385}","{""precision"": 0.5, ""recall"": 0.75, ""f1"": 0.6}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}"
NCT00213980,"{""precision"": 0.1875, ""recall"": 0.375, ""f1"": 0.25}","{""precision"": 0.5, ""recall"": 0.625, ""f1"": 0.5555555555555556}","{""precision"": 0.21428571428571427, ""recall"": 0.375, ""f1"": 0.2727272727272727}","{""precision"": 0.625, ""recall"": 0.625, ""f1"": 0.625}"
NCT00217672,"{""precision"": 0.13636363636363635, ""recall"": 0.5, ""f1"": 0.21428571428571427}","{""precision"": 0.35294117647058826, ""recall"": 0.8571428571428571, ""f1"": 0.5}","{""precision"": 0.21052631578947367, ""recall"": 0.6666666666666666, ""f1"": 0.32}","{""precision"": 0.35294117647058826, ""recall"": 0.8571428571428571, ""f1"": 0.5}"
NCT00234494,"{""precision"": 0.5, ""recall"": 0.6923076923076923, ""f1"": 0.5806451612903226}","{""precision"": 0.3076923076923077, ""recall"": 0.3076923076923077, ""f1"": 0.3076923076923077}","{""precision"": 0.45, ""recall"": 0.6923076923076923, ""f1"": 0.5454545454545455}","{""precision"": 0.46153846153846156, ""recall"": 0.46153846153846156, ""f1"": 0.46153846153846156}"
NCT00234533,"{""precision"": 0.25, ""recall"": 0.35714285714285715, ""f1"": 0.2941176470588235}","{""precision"": 0.4166666666666667, ""recall"": 0.35714285714285715, ""f1"": 0.3846153846153846}","{""precision"": 0.45454545454545453, ""recall"": 0.35714285714285715, ""f1"": 0.4}","{""precision"": 0.5, ""recall"": 0.35714285714285715, ""f1"": 0.41666666666666663}"
NCT00254501,"{""precision"": 0.25, ""recall"": 0.26666666666666666, ""f1"": 0.2580645161290323}","{""precision"": 0.45454545454545453, ""recall"": 0.3125, ""f1"": 0.3703703703703703}","{""precision"": 0.5333333333333333, ""recall"": 0.5714285714285714, ""f1"": 0.5517241379310344}","{""precision"": 0.2857142857142857, ""recall"": 0.13333333333333333, ""f1"": 0.18181818181818182}"
NCT00257920,"{""precision"": 0.16666666666666666, ""recall"": 0.42857142857142855, ""f1"": 0.24}","{""precision"": 0.4166666666666667, ""recall"": 0.7142857142857143, ""f1"": 0.5263157894736842}","{""precision"": 0.23529411764705882, ""recall"": 0.5714285714285714, ""f1"": 0.3333333333333333}","{""precision"": 0.4166666666666667, ""recall"": 0.7142857142857143, ""f1"": 0.5263157894736842}"
NCT00258362,"{""precision"": 0.16666666666666666, ""recall"": 0.6666666666666666, ""f1"": 0.26666666666666666}","{""precision"": 0.3125, ""recall"": 0.8333333333333334, ""f1"": 0.45454545454545453}","{""precision"": 0.25, ""recall"": 0.6666666666666666, ""f1"": 0.36363636363636365}","{""precision"": 0.29411764705882354, ""recall"": 0.8333333333333334, ""f1"": 0.4347826086956522}"
NCT00258674,"{""precision"": 0.16666666666666666, ""recall"": 0.1, ""f1"": 0.125}","{""precision"": 0.2, ""recall"": 0.1, ""f1"": 0.13333333333333333}","{""precision"": 0.3333333333333333, ""recall"": 0.25, ""f1"": 0.28571428571428575}","{""precision"": 0.5555555555555556, ""recall"": 0.25, ""f1"": 0.3448275862068966}"
NCT00262964,"{""precision"": 0.2857142857142857, ""recall"": 0.4444444444444444, ""f1"": 0.34782608695652173}","{""precision"": 0.2857142857142857, ""recall"": 0.4444444444444444, ""f1"": 0.34782608695652173}","{""precision"": 0.3333333333333333, ""recall"": 0.6666666666666666, ""f1"": 0.4444444444444444}","{""precision"": 0.4166666666666667, ""recall"": 0.5555555555555556, ""f1"": 0.4761904761904762}"
NCT00266695,"{""precision"": 0.5, ""recall"": 0.7, ""f1"": 0.5833333333333334}","{""precision"": 0.8, ""recall"": 0.8, ""f1"": 0.8000000000000002}","{""precision"": 0.4666666666666667, ""recall"": 0.7, ""f1"": 0.56}","{""precision"": 0.625, ""recall"": 0.5, ""f1"": 0.5555555555555556}"
NCT00268892,"{""precision"": 0.5333333333333333, ""recall"": 0.8888888888888888, ""f1"": 0.6666666666666667}","{""precision"": 0.45454545454545453, ""recall"": 0.5555555555555556, ""f1"": 0.5}","{""precision"": 0.38461538461538464, ""recall"": 0.5555555555555556, ""f1"": 0.4545454545454546}","{""precision"": 0.3, ""recall"": 0.3333333333333333, ""f1"": 0.3157894736842105}"
NCT00270855,"{""precision"": 0.6363636363636364, ""recall"": 0.5833333333333334, ""f1"": 0.6086956521739131}","{""precision"": 0.6363636363636364, ""recall"": 0.5833333333333334, ""f1"": 0.6086956521739131}","{""precision"": 0.13333333333333333, ""recall"": 0.16666666666666666, ""f1"": 0.14814814814814814}","{""precision"": 0.26666666666666666, ""recall"": 0.3333333333333333, ""f1"": 0.2962962962962963}"
NCT00279201,"{""precision"": 0.5555555555555556, ""recall"": 0.38461538461538464, ""f1"": 0.4545454545454546}","{""precision"": 0.5, ""recall"": 0.5384615384615384, ""f1"": 0.5185185185185186}","{""precision"": 0.4666666666666667, ""recall"": 0.5384615384615384, ""f1"": 0.5}","{""precision"": 0.46153846153846156, ""recall"": 0.46153846153846156, ""f1"": 0.46153846153846156}"
NCT00283244,"{""precision"": 0.21428571428571427, ""recall"": 0.375, ""f1"": 0.2727272727272727}","{""precision"": 0.26666666666666666, ""recall"": 0.5, ""f1"": 0.3478260869565218}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}"
NCT00283686,"{""precision"": 0.2, ""recall"": 0.5, ""f1"": 0.28571428571428575}","{""precision"": 0.6, ""recall"": 0.75, ""f1"": 0.6666666666666665}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}","{""precision"": 0.5, ""recall"": 0.625, ""f1"": 0.5555555555555556}"
NCT00286091,"{""precision"": 0.35294117647058826, ""recall"": 0.8571428571428571, ""f1"": 0.5}","{""precision"": 0.5454545454545454, ""recall"": 0.8571428571428571, ""f1"": 0.6666666666666665}","{""precision"": 0.36363636363636365, ""recall"": 0.5714285714285714, ""f1"": 0.4444444444444444}","{""precision"": 0.5, ""recall"": 0.7142857142857143, ""f1"": 0.588235294117647}"
NCT00286754,"{""precision"": 0.4482758620689655, ""recall"": 0.5652173913043478, ""f1"": 0.4999999999999999}","{""precision"": 0.6666666666666666, ""recall"": 0.34782608695652173, ""f1"": 0.4571428571428571}","{""precision"": 0.47619047619047616, ""recall"": 0.43478260869565216, ""f1"": 0.4545454545454545}","{""precision"": 0.6363636363636364, ""recall"": 0.30434782608695654, ""f1"": 0.411764705882353}"
