NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT00063232,"{""precision"": 0.15789473684210525, ""recall"": 0.42857142857142855, ""f1"": 0.23076923076923078}","{""precision"": 0.35714285714285715, ""recall"": 0.7142857142857143, ""f1"": 0.4761904761904762}","{""precision"": 0.25, ""recall"": 0.7142857142857143, ""f1"": 0.37037037037037035}","{""precision"": 0.3157894736842105, ""recall"": 0.8571428571428571, ""f1"": 0.46153846153846156}"
NCT00063882,"{""precision"": 0.21052631578947367, ""recall"": 0.4, ""f1"": 0.27586206896551724}","{""precision"": 0.45454545454545453, ""recall"": 0.5, ""f1"": 0.47619047619047616}","{""precision"": 0.3333333333333333, ""recall"": 0.4, ""f1"": 0.3636363636363636}","{""precision"": 0.5555555555555556, ""recall"": 0.5, ""f1"": 0.5263157894736842}"
NCT00064753,"{""precision"": 0.15789473684210525, ""recall"": 0.23076923076923078, ""f1"": 0.18749999999999997}","{""precision"": 0.3333333333333333, ""recall"": 0.3076923076923077, ""f1"": 0.32}","{""precision"": 0.3333333333333333, ""recall"": 0.38461538461538464, ""f1"": 0.3571428571428571}","{""precision"": 0.3888888888888889, ""recall"": 0.5384615384615384, ""f1"": 0.45161290322580644}"
NCT00066729,"{""precision"": 0.03333333333333333, ""recall"": 0.16666666666666666, ""f1"": 0.05555555555555555}","{""precision"": 0.2, ""recall"": 0.5, ""f1"": 0.28571428571428575}","{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}"
NCT00069576,"{""precision"": 0.1, ""recall"": 0.3, ""f1"": 0.15}","{""precision"": 0.2857142857142857, ""recall"": 0.4, ""f1"": 0.3333333333333333}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.16666666666666666, ""recall"": 0.2, ""f1"": 0.1818181818181818}"
NCT00069784,"{""precision"": 0.2, ""recall"": 0.5555555555555556, ""f1"": 0.29411764705882354}","{""precision"": 0.3125, ""recall"": 0.5555555555555556, ""f1"": 0.39999999999999997}","{""precision"": 0.2631578947368421, ""recall"": 0.5555555555555556, ""f1"": 0.35714285714285715}","{""precision"": 0.3125, ""recall"": 0.5555555555555556, ""f1"": 0.39999999999999997}"
NCT00079001,"{""precision"": 0.1, ""recall"": 0.16666666666666666, ""f1"": 0.125}","{""precision"": 0.36363636363636365, ""recall"": 0.6666666666666666, ""f1"": 0.4705882352941177}","{""precision"": 0.08333333333333333, ""recall"": 0.16666666666666666, ""f1"": 0.1111111111111111}","{""precision"": 0.3, ""recall"": 0.5, ""f1"": 0.37499999999999994}"
NCT00079274,"{""precision"": 0.2, ""recall"": 0.4444444444444444, ""f1"": 0.2758620689655173}","{""precision"": 0.46153846153846156, ""recall"": 0.6666666666666666, ""f1"": 0.5454545454545455}","{""precision"": 0.1, ""recall"": 0.2222222222222222, ""f1"": 0.13793103448275865}","{""precision"": 0.5454545454545454, ""recall"": 0.6666666666666666, ""f1"": 0.6}"
NCT00080301,"{""precision"": 0.058823529411764705, ""recall"": 0.09090909090909091, ""f1"": 0.07142857142857142}","{""precision"": 0.25, ""recall"": 0.2727272727272727, ""f1"": 0.2608695652173913}","{""precision"": 0.15384615384615385, ""recall"": 0.18181818181818182, ""f1"": 0.16666666666666669}","{""precision"": 0.2857142857142857, ""recall"": 0.36363636363636365, ""f1"": 0.32}"
NCT00082368,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.3333333333333333, ""recall"": 0.3333333333333333, ""f1"": 0.3333333333333333}","{""precision"": 0.16666666666666666, ""recall"": 0.2222222222222222, ""f1"": 0.1904761904761905}","{""precision"": 0.3333333333333333, ""recall"": 0.3333333333333333, ""f1"": 0.3333333333333333}"
NCT00085540,"{""precision"": 0.19047619047619047, ""recall"": 0.6666666666666666, ""f1"": 0.2962962962962963}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}","{""precision"": 0.2631578947368421, ""recall"": 0.8333333333333334, ""f1"": 0.39999999999999997}","{""precision"": 0.2222222222222222, ""recall"": 0.6666666666666666, ""f1"": 0.3333333333333333}"
NCT00086580,"{""precision"": 0.06666666666666667, ""recall"": 0.18181818181818182, ""f1"": 0.0975609756097561}","{""precision"": 0.25, ""recall"": 0.45454545454545453, ""f1"": 0.3225806451612903}","{""precision"": 0.25, ""recall"": 0.45454545454545453, ""f1"": 0.3225806451612903}","{""precision"": 0.3333333333333333, ""recall"": 0.5454545454545454, ""f1"": 0.41379310344827586}"
NCT00088530,"{""precision"": 0.1, ""recall"": 0.16666666666666666, ""f1"": 0.125}","{""precision"": 0.5, ""recall"": 0.8333333333333334, ""f1"": 0.625}","{""precision"": 0.11764705882352941, ""recall"": 0.3333333333333333, ""f1"": 0.1739130434782609}","{""precision"": 0.2727272727272727, ""recall"": 0.5, ""f1"": 0.3529411764705882}"
NCT00090519,"{""precision"": 0.45454545454545453, ""recall"": 0.4166666666666667, ""f1"": 0.43478260869565216}","{""precision"": 0.5833333333333334, ""recall"": 0.5833333333333334, ""f1"": 0.5833333333333334}","{""precision"": 0.5, ""recall"": 0.5833333333333334, ""f1"": 0.5384615384615384}","{""precision"": 0.6363636363636364, ""recall"": 0.5833333333333334, ""f1"": 0.6086956521739131}"
NCT00096382,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}","{""precision"": 0.03571428571428571, ""recall"": 0.16666666666666666, ""f1"": 0.058823529411764705}","{""precision"": 0.15789473684210525, ""recall"": 0.5, ""f1"": 0.23999999999999996}"
NCT00098020,"{""precision"": 0.05555555555555555, ""recall"": 0.16666666666666666, ""f1"": 0.08333333333333333}","{""precision"": 0.16666666666666666, ""recall"": 0.3333333333333333, ""f1"": 0.2222222222222222}","{""precision"": 0.09523809523809523, ""recall"": 0.3333333333333333, ""f1"": 0.14814814814814814}","{""precision"": 0.26666666666666666, ""recall"": 0.6666666666666666, ""f1"": 0.3809523809523809}"
NCT00100789,"{""precision"": 0.08333333333333333, ""recall"": 0.2857142857142857, ""f1"": 0.12903225806451613}","{""precision"": 0.25, ""recall"": 0.42857142857142855, ""f1"": 0.3157894736842105}","{""precision"": 0.125, ""recall"": 0.42857142857142855, ""f1"": 0.19354838709677416}","{""precision"": 0.15, ""recall"": 0.42857142857142855, ""f1"": 0.2222222222222222}"
NCT00104572,"{""precision"": 0.13333333333333333, ""recall"": 0.23529411764705882, ""f1"": 0.1702127659574468}","{""precision"": 0.5714285714285714, ""recall"": 0.47058823529411764, ""f1"": 0.5161290322580646}","{""precision"": 0.125, ""recall"": 0.17647058823529413, ""f1"": 0.14634146341463414}","{""precision"": 0.5625, ""recall"": 0.5294117647058824, ""f1"": 0.5454545454545455}"
NCT00109031,"{""precision"": 0.05555555555555555, ""recall"": 0.16666666666666666, ""f1"": 0.08333333333333333}","{""precision"": 0.2727272727272727, ""recall"": 0.5, ""f1"": 0.3529411764705882}","{""precision"": 0.0625, ""recall"": 0.16666666666666666, ""f1"": 0.09090909090909091}","{""precision"": 0.21428571428571427, ""recall"": 0.5, ""f1"": 0.3}"
NCT00110084,"{""precision"": 0.1, ""recall"": 0.3333333333333333, ""f1"": 0.15384615384615383}","{""precision"": 0.2222222222222222, ""recall"": 0.4444444444444444, ""f1"": 0.2962962962962963}","{""precision"": 0.2222222222222222, ""recall"": 0.4444444444444444, ""f1"": 0.2962962962962963}","{""precision"": 0.3125, ""recall"": 0.5555555555555556, ""f1"": 0.39999999999999997}"
NCT00110214,"{""precision"": 0.06896551724137931, ""recall"": 0.3333333333333333, ""f1"": 0.1142857142857143}","{""precision"": 0.20833333333333334, ""recall"": 0.8333333333333334, ""f1"": 0.33333333333333337}","{""precision"": 0.037037037037037035, ""recall"": 0.16666666666666666, ""f1"": 0.06060606060606061}","{""precision"": 0.18181818181818182, ""recall"": 0.6666666666666666, ""f1"": 0.28571428571428575}"
NCT00112294,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.23076923076923078, ""recall"": 0.5, ""f1"": 0.3157894736842105}","{""precision"": 0.09090909090909091, ""recall"": 0.3333333333333333, ""f1"": 0.14285714285714288}","{""precision"": 0.22727272727272727, ""recall"": 0.8333333333333334, ""f1"": 0.35714285714285715}"
NCT00113074,"{""precision"": 0.15, ""recall"": 0.3333333333333333, ""f1"": 0.20689655172413793}","{""precision"": 0.42857142857142855, ""recall"": 0.6666666666666666, ""f1"": 0.5217391304347826}","{""precision"": 0.25, ""recall"": 0.4444444444444444, ""f1"": 0.32}","{""precision"": 0.5454545454545454, ""recall"": 0.6666666666666666, ""f1"": 0.6}"
NCT00116779,"{""precision"": 0.15, ""recall"": 0.25, ""f1"": 0.18749999999999997}","{""precision"": 0.36363636363636365, ""recall"": 0.3333333333333333, ""f1"": 0.34782608695652173}","{""precision"": 0.4, ""recall"": 0.3333333333333333, ""f1"": 0.3636363636363636}","{""precision"": 0.5555555555555556, ""recall"": 0.4166666666666667, ""f1"": 0.4761904761904762}"
NCT00116831,"{""precision"": 0.038461538461538464, ""recall"": 0.125, ""f1"": 0.058823529411764705}","{""precision"": 0.5384615384615384, ""recall"": 0.875, ""f1"": 0.6666666666666667}","{""precision"": 0.23529411764705882, ""recall"": 0.5, ""f1"": 0.31999999999999995}","{""precision"": 0.3888888888888889, ""recall"": 0.875, ""f1"": 0.5384615384615385}"
NCT00117962,"{""precision"": 0.06666666666666667, ""recall"": 0.16666666666666666, ""f1"": 0.09523809523809522}","{""precision"": 0.25, ""recall"": 0.6666666666666666, ""f1"": 0.36363636363636365}","{""precision"": 0.15, ""recall"": 0.5, ""f1"": 0.23076923076923075}","{""precision"": 0.1875, ""recall"": 0.5, ""f1"": 0.2727272727272727}"
NCT00118040,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.15, ""recall"": 0.5, ""f1"": 0.23076923076923075}","{""precision"": 0.041666666666666664, ""recall"": 0.16666666666666666, ""f1"": 0.06666666666666667}","{""precision"": 0.13636363636363635, ""recall"": 0.5, ""f1"": 0.21428571428571427}"
NCT00121667,"{""precision"": 0.07142857142857142, ""recall"": 0.1111111111111111, ""f1"": 0.08695652173913043}","{""precision"": 0.4, ""recall"": 0.4444444444444444, ""f1"": 0.4210526315789474}","{""precision"": 0.16666666666666666, ""recall"": 0.2222222222222222, ""f1"": 0.1904761904761905}","{""precision"": 0.36363636363636365, ""recall"": 0.4444444444444444, ""f1"": 0.39999999999999997}"
NCT00125853,"{""precision"": 0.11764705882352941, ""recall"": 0.2, ""f1"": 0.14814814814814817}","{""precision"": 0.14285714285714285, ""recall"": 0.2, ""f1"": 0.16666666666666666}","{""precision"": 0.16666666666666666, ""recall"": 0.3, ""f1"": 0.21428571428571427}","{""precision"": 0.5, ""recall"": 0.6, ""f1"": 0.5454545454545454}"
NCT00126581,"{""precision"": 0.125, ""recall"": 0.3333333333333333, ""f1"": 0.18181818181818182}","{""precision"": 0.3125, ""recall"": 0.8333333333333334, ""f1"": 0.45454545454545453}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}","{""precision"": 0.35714285714285715, ""recall"": 0.8333333333333334, ""f1"": 0.5}"
NCT00126594,"{""precision"": 0.025, ""recall"": 0.125, ""f1"": 0.04166666666666667}","{""precision"": 0.26666666666666666, ""recall"": 0.5, ""f1"": 0.3478260869565218}","{""precision"": 0.2, ""recall"": 0.5, ""f1"": 0.28571428571428575}","{""precision"": 0.375, ""recall"": 0.75, ""f1"": 0.5}"
NCT00126737,"{""precision"": 0.2222222222222222, ""recall"": 0.18181818181818182, ""f1"": 0.19999999999999998}","{""precision"": 0.3, ""recall"": 0.2727272727272727, ""f1"": 0.28571428571428564}","{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.5, ""recall"": 0.36363636363636365, ""f1"": 0.4210526315789474}"
NCT00129376,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.15789473684210525, ""recall"": 0.375, ""f1"": 0.22222222222222218}","{""precision"": 0.09523809523809523, ""recall"": 0.25, ""f1"": 0.13793103448275862}","{""precision"": 0.21739130434782608, ""recall"": 0.625, ""f1"": 0.3225806451612903}"
NCT00129389,"{""precision"": 0.22727272727272727, ""recall"": 0.38461538461538464, ""f1"": 0.2857142857142857}","{""precision"": 0.36, ""recall"": 0.6923076923076923, ""f1"": 0.47368421052631576}","{""precision"": 0.46153846153846156, ""recall"": 0.46153846153846156, ""f1"": 0.46153846153846156}","{""precision"": 0.5, ""recall"": 0.46153846153846156, ""f1"": 0.48000000000000004}"
NCT00135707,"{""precision"": 0.07692307692307693, ""recall"": 0.14285714285714285, ""f1"": 0.1}","{""precision"": 0.25, ""recall"": 0.2857142857142857, ""f1"": 0.26666666666666666}","{""precision"": 0.1, ""recall"": 0.14285714285714285, ""f1"": 0.11764705882352941}","{""precision"": 0.4444444444444444, ""recall"": 0.2857142857142857, ""f1"": 0.34782608695652173}"
NCT00137280,"{""precision"": 0.125, ""recall"": 0.07142857142857142, ""f1"": 0.09090909090909091}","{""precision"": 0.4, ""recall"": 0.2857142857142857, ""f1"": 0.3333333333333333}","{""precision"": 0.125, ""recall"": 0.14285714285714285, ""f1"": 0.13333333333333333}","{""precision"": 0.3333333333333333, ""recall"": 0.21428571428571427, ""f1"": 0.2608695652173913}"
NCT00147199,"{""precision"": 0.2, ""recall"": 0.5714285714285714, ""f1"": 0.29629629629629634}","{""precision"": 0.45454545454545453, ""recall"": 0.7142857142857143, ""f1"": 0.5555555555555556}","{""precision"": 0.14285714285714285, ""recall"": 0.2857142857142857, ""f1"": 0.19047619047619047}","{""precision"": 0.25, ""recall"": 0.42857142857142855, ""f1"": 0.3157894736842105}"
NCT00151775,"{""precision"": 0.2727272727272727, ""recall"": 0.42857142857142855, ""f1"": 0.33333333333333326}","{""precision"": 0.6, ""recall"": 0.8571428571428571, ""f1"": 0.7058823529411764}","{""precision"": 0.25, ""recall"": 0.5714285714285714, ""f1"": 0.34782608695652173}","{""precision"": 0.5833333333333334, ""recall"": 1.0, ""f1"": 0.7368421052631579}"
NCT00182689,"{""precision"": 0.03571428571428571, ""recall"": 0.14285714285714285, ""f1"": 0.05714285714285715}","{""precision"": 0.2, ""recall"": 0.5714285714285714, ""f1"": 0.29629629629629634}","{""precision"": 0.1, ""recall"": 0.2857142857142857, ""f1"": 0.14814814814814817}","{""precision"": 0.15789473684210525, ""recall"": 0.42857142857142855, ""f1"": 0.23076923076923078}"
NCT00191191,"{""precision"": 0.2, ""recall"": 0.42857142857142855, ""f1"": 0.27272727272727276}","{""precision"": 0.26666666666666666, ""recall"": 0.5714285714285714, ""f1"": 0.36363636363636365}","{""precision"": 0.25, ""recall"": 0.42857142857142855, ""f1"": 0.3157894736842105}","{""precision"": 0.3333333333333333, ""recall"": 0.42857142857142855, ""f1"": 0.375}"
NCT00191646,"{""precision"": 0.1875, ""recall"": 0.3, ""f1"": 0.23076923076923075}","{""precision"": 0.36363636363636365, ""recall"": 0.4, ""f1"": 0.380952380952381}","{""precision"": 0.25, ""recall"": 0.3, ""f1"": 0.2727272727272727}","{""precision"": 0.3333333333333333, ""recall"": 0.3, ""f1"": 0.3157894736842105}"
NCT00191789,"{""precision"": 0.42857142857142855, ""recall"": 0.42857142857142855, ""f1"": 0.42857142857142855}","{""precision"": 0.5294117647058824, ""recall"": 0.6428571428571429, ""f1"": 0.5806451612903226}","{""precision"": 0.46153846153846156, ""recall"": 0.42857142857142855, ""f1"": 0.4444444444444445}","{""precision"": 0.6666666666666666, ""recall"": 0.42857142857142855, ""f1"": 0.5217391304347826}"
NCT00192114,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.2727272727272727, ""recall"": 0.5, ""f1"": 0.3529411764705882}","{""precision"": 0.14285714285714285, ""recall"": 0.3333333333333333, ""f1"": 0.2}","{""precision"": 0.4444444444444444, ""recall"": 0.6666666666666666, ""f1"": 0.5333333333333333}"
NCT00194714,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.21428571428571427, ""recall"": 0.5, ""f1"": 0.3}","{""precision"": 0.05263157894736842, ""recall"": 0.16666666666666666, ""f1"": 0.08}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}"
NCT00201825,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.1, ""recall"": 0.16666666666666666, ""f1"": 0.125}","{""precision"": 0.2222222222222222, ""recall"": 0.3333333333333333, ""f1"": 0.26666666666666666}"
NCT00205660,"{""precision"": 0.1111111111111111, ""recall"": 0.25, ""f1"": 0.15384615384615383}","{""precision"": 0.4166666666666667, ""recall"": 0.625, ""f1"": 0.5}","{""precision"": 0.08333333333333333, ""recall"": 0.125, ""f1"": 0.1}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}"
NCT00213980,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}","{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.375, ""recall"": 0.375, ""f1"": 0.375}"
NCT00217672,"{""precision"": 0.045454545454545456, ""recall"": 0.16666666666666666, ""f1"": 0.07142857142857144}","{""precision"": 0.11764705882352941, ""recall"": 0.3333333333333333, ""f1"": 0.1739130434782609}","{""precision"": 0.10526315789473684, ""recall"": 0.3333333333333333, ""f1"": 0.16}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}"
NCT00234494,"{""precision"": 0.13333333333333333, ""recall"": 0.15384615384615385, ""f1"": 0.14285714285714288}","{""precision"": 0.23076923076923078, ""recall"": 0.23076923076923078, ""f1"": 0.23076923076923078}","{""precision"": 0.35, ""recall"": 0.5384615384615384, ""f1"": 0.4242424242424242}","{""precision"": 0.46153846153846156, ""recall"": 0.46153846153846156, ""f1"": 0.46153846153846156}"
NCT00234533,"{""precision"": 0.15, ""recall"": 0.21428571428571427, ""f1"": 0.1764705882352941}","{""precision"": 0.4166666666666667, ""recall"": 0.35714285714285715, ""f1"": 0.3846153846153846}","{""precision"": 0.2727272727272727, ""recall"": 0.21428571428571427, ""f1"": 0.23999999999999996}","{""precision"": 0.3, ""recall"": 0.21428571428571427, ""f1"": 0.25}"
NCT00254501,"{""precision"": 0.0625, ""recall"": 0.06666666666666667, ""f1"": 0.06451612903225808}","{""precision"": 0.2727272727272727, ""recall"": 0.2, ""f1"": 0.23076923076923075}","{""precision"": 0.13333333333333333, ""recall"": 0.13333333333333333, ""f1"": 0.13333333333333333}","{""precision"": 0.14285714285714285, ""recall"": 0.06666666666666667, ""f1"": 0.09090909090909091}"
NCT00257920,"{""precision"": 0.11764705882352941, ""recall"": 0.2857142857142857, ""f1"": 0.16666666666666666}","{""precision"": 0.45454545454545453, ""recall"": 0.7142857142857143, ""f1"": 0.5555555555555556}","{""precision"": 0.1875, ""recall"": 0.42857142857142855, ""f1"": 0.26086956521739124}","{""precision"": 0.45454545454545453, ""recall"": 0.7142857142857143, ""f1"": 0.5555555555555556}"
NCT00258362,"{""precision"": 0.041666666666666664, ""recall"": 0.16666666666666666, ""f1"": 0.06666666666666667}","{""precision"": 0.25, ""recall"": 0.6666666666666666, ""f1"": 0.36363636363636365}","{""precision"": 0.0625, ""recall"": 0.16666666666666666, ""f1"": 0.09090909090909091}","{""precision"": 0.23529411764705882, ""recall"": 0.6666666666666666, ""f1"": 0.3478260869565218}"
NCT00258674,"{""precision"": 0.25, ""recall"": 0.15, ""f1"": 0.18749999999999997}","{""precision"": 0.4, ""recall"": 0.2, ""f1"": 0.26666666666666666}","{""precision"": 0.2, ""recall"": 0.15, ""f1"": 0.17142857142857143}","{""precision"": 0.4444444444444444, ""recall"": 0.2, ""f1"": 0.2758620689655173}"
NCT00262964,"{""precision"": 0.21428571428571427, ""recall"": 0.3333333333333333, ""f1"": 0.2608695652173913}","{""precision"": 0.35714285714285715, ""recall"": 0.5555555555555556, ""f1"": 0.43478260869565216}","{""precision"": 0.16666666666666666, ""recall"": 0.3333333333333333, ""f1"": 0.2222222222222222}","{""precision"": 0.4166666666666667, ""recall"": 0.5555555555555556, ""f1"": 0.4761904761904762}"
NCT00266695,"{""precision"": 0.2857142857142857, ""recall"": 0.4, ""f1"": 0.3333333333333333}","{""precision"": 0.8, ""recall"": 0.8, ""f1"": 0.8000000000000002}","{""precision"": 0.4, ""recall"": 0.6, ""f1"": 0.48}","{""precision"": 0.625, ""recall"": 0.5, ""f1"": 0.5555555555555556}"
NCT00268892,"{""precision"": 0.4666666666666667, ""recall"": 0.7777777777777778, ""f1"": 0.5833333333333334}","{""precision"": 0.36363636363636365, ""recall"": 0.4444444444444444, ""f1"": 0.39999999999999997}","{""precision"": 0.38461538461538464, ""recall"": 0.5555555555555556, ""f1"": 0.4545454545454546}","{""precision"": 0.3, ""recall"": 0.3333333333333333, ""f1"": 0.3157894736842105}"
NCT00270855,"{""precision"": 0.5454545454545454, ""recall"": 0.5, ""f1"": 0.5217391304347826}","{""precision"": 0.6363636363636364, ""recall"": 0.5833333333333334, ""f1"": 0.6086956521739131}","{""precision"": 0.06666666666666667, ""recall"": 0.08333333333333333, ""f1"": 0.07407407407407407}","{""precision"": 0.3333333333333333, ""recall"": 0.4166666666666667, ""f1"": 0.3703703703703704}"
NCT00279201,"{""precision"": 0.3333333333333333, ""recall"": 0.23076923076923078, ""f1"": 0.27272727272727276}","{""precision"": 0.42857142857142855, ""recall"": 0.46153846153846156, ""f1"": 0.4444444444444445}","{""precision"": 0.3333333333333333, ""recall"": 0.38461538461538464, ""f1"": 0.3571428571428571}","{""precision"": 0.3076923076923077, ""recall"": 0.3076923076923077, ""f1"": 0.3076923076923077}"
NCT00283244,"{""precision"": 0.07142857142857142, ""recall"": 0.125, ""f1"": 0.09090909090909091}","{""precision"": 0.26666666666666666, ""recall"": 0.5, ""f1"": 0.3478260869565218}","{""precision"": 0.125, ""recall"": 0.25, ""f1"": 0.16666666666666666}","{""precision"": 0.1875, ""recall"": 0.375, ""f1"": 0.25}"
NCT00283686,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.2, ""recall"": 0.25, ""f1"": 0.22222222222222224}","{""precision"": 0.125, ""recall"": 0.25, ""f1"": 0.16666666666666666}","{""precision"": 0.4, ""recall"": 0.5, ""f1"": 0.4444444444444445}"
NCT00286091,"{""precision"": 0.058823529411764705, ""recall"": 0.14285714285714285, ""f1"": 0.08333333333333333}","{""precision"": 0.4, ""recall"": 0.5714285714285714, ""f1"": 0.47058823529411764}","{""precision"": 0.18181818181818182, ""recall"": 0.2857142857142857, ""f1"": 0.2222222222222222}","{""precision"": 0.3, ""recall"": 0.42857142857142855, ""f1"": 0.3529411764705882}"
NCT00286754,"{""precision"": 0.3448275862068966, ""recall"": 0.43478260869565216, ""f1"": 0.38461538461538464}","{""precision"": 0.6666666666666666, ""recall"": 0.34782608695652173, ""f1"": 0.4571428571428571}","{""precision"": 0.19047619047619047, ""recall"": 0.17391304347826086, ""f1"": 0.1818181818181818}","{""precision"": 0.7272727272727273, ""recall"": 0.34782608695652173, ""f1"": 0.4705882352941176}"
